ID,Sitetype,PM,Nap,Acy,Ace,Flu,Phe,Ant,Fla,Pyr,Chr,BaA,BbF,BkF,BaP,Ind,DbA,BPer,TPAHs,LMH/HMW,CANPAHs,COMPAHs
HP1307,Background,PM2.5,0.02,0.03,0.04,0.09,0.38,0.03,0.13,0.11,0.02,0.04,0.07,0.06,0.05,0.14,0.04,0.06,1.30,,,
HP1307,Background,PM10,0.09,0.09,0.03,0.26,0.74,0.04,1.01,0.90,0.07,0.14,0.14,0.08,0.03,0.13,0.10,0.04,3.88,,,
HP1307,Residential,PM2.5,0.03,0.10,0.06,0.22,0.33,0.18,0.77,0.70,0.08,0.10,0.11,0.09,0.03,0.17,0.10,0.04,3.10,,,
HP1307,Residential,PM10,0.07,0.12,0.05,0.24,0.81,0.25,0.98,0.87,0.06,0.14,0.19,0.15,0.03,0.21,0.09,0.04,4.32,,,
HP1307,Traffic,PM2.5,0.09,0.04,0.05,0.10,0.36,0.04,0.09,0.12,0.06,0.10,0.33,0.16,0.10,0.27,0.08,0.15,2.14,,,
HP1307,Traffic,PM10,0.16,0.13,0.04,0.33,1.78,0.33,1.19,1.08,0.11,0.21,0.15,0.16,0.09,0.25,0.12,0.12,6.26,,,
HP1407,Background,PM2.5,0.02,0.03,0.03,0.08,0.32,0.03,0.16,0.12,0.05,0.07,0.05,0.04,0.03,0.08,0.04,0.03,1.20,,,
HP1407,Background,PM10,0.08,0.07,0.03,0.22,0.61,0.29,0.87,0.83,0.06,0.09,0.10,0.05,0.03,0.09,0.06,0.04,3.50,,,
HP1407,Residential,PM2.5,0.02,0.07,0.05,0.19,0.41,0.20,0.63,0.58,0.11,0.14,0.08,0.07,0.06,0.15,0.06,0.07,2.89,,,
HP1407,Residential,PM10,0.05,0.10,0.05,0.28,0.87,0.22,0.83,0.80,0.09,0.11,0.16,0.13,0.06,0.16,0.12,0.08,4.11,,,
HP1407,Traffic,PM2.5,0.08,0.05,0.06,0.11,1.00,0.11,0.34,0.33,0.05,0.07,0.11,0.10,0.06,0.17,0.06,0.10,2.80,,,
HP1407,Traffic,PM10,0.16,0.14,0.06,0.31,1.61,0.31,1.12,1.05,0.13,0.21,0.19,0.17,0.09,0.21,0.11,0.14,5.99,,,
HP1507,Background,PM2.5,0.02,0.04,0.03,0.08,0.35,0.07,0.20,0.17,0.04,0.05,0.05,0.05,0.03,0.05,0.03,0.04,1.30,,,
HP1507,Background,PM10,0.06,0.07,0.03,0.20,0.62,0.25,0.69,0.64,0.06,0.08,0.09,0.07,0.04,0.07,0.04,0.04,3.04,,,
HP1507,Residential,PM2.5,0.03,0.05,0.05,0.15,0.50,0.23,0.51,0.42,0.08,0.10,0.08,0.06,0.05,0.12,0.06,0.06,2.55,,,
HP1507,Residential,PM10,0.06,0.10,0.05,0.23,1.02,0.24,0.19,0.13,0.07,0.10,0.15,0.10,0.05,0.15,0.05,0.07,2.76,,,
HP1507,Traffic,PM2.5,0.09,0.06,0.05,0.16,0.98,0.12,0.21,0.25,0.07,0.09,0.10,0.10,0.06,0.26,0.07,0.10,2.78,,,
HP1507,Traffic,PM10,0.17,0.13,0.05,0.32,1.57,0.35,1.08,1.04,0.12,0.17,0.19,0.18,0.09,0.22,0.12,0.15,5.97,,,
QN0207,Background,PM2.5,0.02,0.03,0.03,0.05,0.54,0.05,0.11,0.08,0.07,0.08,0.16,0.19,0.15,0.45,0.59,0.30,2.90,,,
QN0207,Background,PM10,0.04,0.04,0.04,0.10,0.97,0.09,0.33,0.26,0.19,0.23,0.39,0.37,0.25,0.92,0.82,0.43,5.47,,,
QN0207,Residential,PM2.5,0.02,0.02,0.03,0.06,0.58,0.05,0.07,0.09,0.08,0.11,0.17,0.16,0.24,0.47,0.51,0.40,3.06,,,
QN0207,Residential,PM10,0.04,0.04,0.04,0.16,1.05,0.10,0.31,0.30,0.16,0.20,0.38,0.41,0.80,0.71,0.76,0.91,6.39,,,
QN0207,Traffic,PM2.5,0.03,0.03,0.02,0.08,0.94,0.10,0.14,0.13,0.23,0.31,0.58,0.47,0.39,1.24,0.69,0.57,5.95,,,
QN0207,Traffic,PM10,0.06,0.05,0.04,0.15,1.55,0.18,0.45,0.43,0.44,0.65,0.97,0.78,0.86,2.04,2.11,1.75,12.50,,,
QN0307,Background,PM2.5,0.02,0.02,0.03,0.05,0.52,0.04,0.17,0.15,0.06,0.07,0.12,0.18,0.04,0.23,0.36,0.10,2.16,,,
QN0307,Background,PM10,0.04,0.04,0.05,0.12,0.92,0.08,0.36,0.36,0.15,0.20,0.31,0.41,0.15,0.50,0.78,0.42,4.90,,,
QN0307,Residential,PM2.5,0.03,0.01,0.03,0.03,0.60,0.05,0.13,0.09,0.05,0.06,0.18,0.14,0.08,0.16,0.44,0.11,2.19,,,
QN0307,Residential,PM10,0.04,0.03,0.05,0.16,1.08,0.09,0.38,0.33,0.18,0.23,0.39,0.36,0.48,0.45,0.63,0.61,5.48,,,
QN0307,Traffic,PM2.5,0.02,0.02,0.02,0.09,1.00,0.10,0.22,0.16,0.21,0.29,0.54,0.47,0.39,1.69,0.57,0.66,6.45,,,
QN0307,Traffic,PM10,0.05,0.04,0.05,0.11,1.45,0.17,0.54,0.28,0.33,0.59,0.87,0.72,0.87,2.33,2.28,1.70,12.38,,,
QN0407,Background,PM2.5,0.01,0.03,0.03,0.07,0.57,0.02,0.04,0.06,0.04,0.05,0.14,0.03,0.01,0.37,0.03,0.04,1.53,,,
QN0407,Background,PM10,0.04,0.04,0.05,0.09,1.07,0.09,0.40,0.36,0.10,0.15,0.22,0.22,0.20,0.66,0.65,0.46,4.80,,,
QN0407,Residential,PM2.5,0.01,0.08,0.10,0.21,0.60,0.07,0.16,0.18,0.06,0.11,0.06,0.03,0.04,0.11,0.09,0.12,2.02,,,
QN0407,Residential,PM10,0.03,0.03,0.05,0.10,1.08,0.09,0.42,0.37,0.10,0.17,0.21,0.18,0.16,0.58,0.54,0.42,4.52,,,
QN0407,Traffic,PM2.5,0.02,0.02,0.02,0.07,0.73,0.08,0.26,0.28,0.20,0.22,0.63,0.44,0.29,1.81,0.47,0.49,6.01,,,
