Day,ID,Sitetype,Time,Ben,Tol,Eth,Xyl
Weekday,QN0207,Background,morning,5.75,16.29,6.66,11.84
Weekday,QN0207,Background,afternoon,6.82,18.31,8.95,10.86
Weekday,QN0207,Background,evening,6.2,15.87,7.74,15.33
Weekday,QN0207,Residential,morning,28.29,70.47,17.22,35.54
Weekday,QN0207,Residential,afternoon,36.42,64.07,24.68,58.79
Weekday,QN0207,Residential,evening,40.65,61.46,23.53,66.88
Weekday,QN0207,Traffic,morning,18,44.14,15.45,39.28
Weekday,QN0207,Traffic,afternoon,26.11,84.29,26.83,56.85
Weekday,QN0207,Traffic,evening,37.64,89.41,34.09,58.97
Weekday,QN0307,Background,morning,10.91,17.62,11.4,17.82
Weekday,QN0307,Background,afternoon,6.14,11.85,13.45,14.76
Weekday,QN0307,Background,evening,9.81,16.65,12.07,13.96
Weekday,QN0307,Residential,morning,28,64.86,19.82,45.63
Weekday,QN0307,Residential,afternoon,48.51,75.73,28.44,48.42
Weekday,QN0307,Residential,evening,41.66,65.66,29.37,58.27
Weekday,QN0307,Traffic,morning,30.57,70.98,26.74,53.47
Weekday,QN0307,Traffic,afternoon,38.88,105.96,41.52,87.04
Weekday,QN0307,Traffic,evening,41.58,94.15,33.81,76.87
Weekday,QN0407,Background,morning,4.82,11.32,3.42,9
Weekday,QN0407,Background,afternoon,6.7,15.93,12.44,13.12
Weekday,QN0407,Background,evening,9.06,18.64,13.49,13.69
Weekday,QN0407,Residential,morning,24.13,40.44,23.91,37.53
Weekday,QN0407,Residential,afternoon,48.12,63.41,40.3,48.68
Weekday,QN0407,Residential,evening,43.68,45.65,31.09,44.03
Weekday,QN0407,Traffic,morning,40.95,95.63,34.34,48.01
Weekday,QN0407,Traffic,afternoon,44.41,102.62,33.05,87.29
Weekday,QN0407,Traffic,evening,51.62,101.46,35.32,76.64
Weekend,QN0507,Background,morning,8.6,20.27,5.25,11.94
Weekend,QN0507,Background,afternoon,11.66,22.92,6.36,10.76
Weekend,QN0507,Background,evening,9.24,23.01,7.05,14.71
Weekend,QN0507,Residential,morning,27.71,43.93,24.51,59.1
Weekend,QN0507,Residential,afternoon,24.72,54.72,21.92,81.2
Weekend,QN0507,Residential,evening,44.37,46.08,37.53,68.75
Weekend,QN0507,Traffic,morning,32.99,71.77,17.75,57.98
Weekend,QN0507,Traffic,afternoon,37.26,121.62,34.65,68
Weekend,QN0507,Traffic,evening,40.2,111.71,26.64,48.89
Weekend,QN0607,Background,morning,10.79,23.19,8.62,19.34
