ID,DATE,DUR,STHOUR,SIZE,NAPC,NAPU,ACYC,ACYU,ACEC,ACEU,FLUC,FLUU,PHEC,PHEU,ANTC,ANTU,FLAC,FLAU,PYRC,PYRU,CHRC,CHRU,BAAC,BAAU,BBFC,BBFU,BKFC,BKFU,BAPC,BAPU,INDC,INDU,DBAC,DBAU,BPERC,BPERU
HDVT1,01/07/25,24,0,COARSE,1.7823,0.2046,1.7751,0.0322,0.6587,0.0719,5.2026,0.2495,15.1435,0.5772,4.8356,2.1067,19.5948,1.7192,18.2133,1.8617,1.4781,0.0997,2.3041,0.24,2.4443,0.1686,1.4743,0.0941,0.7632,0.091,2.2294,0.2101,1.4441,0.2281,0.9295,0.0431
HDVT1,01/07/25,24,0,FINE,0.9545,0.1689,1.5772,0.3405,1.4634,0.0892,3.7043,0.2607,15.3611,1.8834,2.1297,0.9139,7.3161,1.6701,6.03,1.504,1.6445,0.4821,2.2222,0.4588,2.538,0.3229,2.179,0.2896,1.6412,0.1989,3.8534,0.8129,1.6015,0.028,1.7894,0.204
HDVT2,01/07/25,24,0,COARSE,0.9263,0.157,1.6559,0.1883,0.7471,0.0793,3.8774,0.1284,14.0054,1.693,3.733,0.4466,10.2027,3.8462,9.0495,3.6638,1.1505,0.0476,1.8055,0.2632,2.5999,0.3458,1.969,0.2739,0.7187,0.1193,2.7153,0.4164,1.3053,0.2062,1.0134,0.1505
HDVT2,01/07/25,24,0,FINE,0.6506,0.0675,1.9002,0.4054,1.3762,0.1889,4.8263,0.7027,10.5614,0.9041,5.1654,0.2837,16.4789,2.5754,14.635,2.6528,2.2868,0.2126,2.9266,0.3114,2.369,0.4058,1.8994,0.2506,1.1431,0.1873,3.7318,0.4873,1.8575,0.4168,1.4505,0.2351
HDVT3,01/07/25,24,0,COARSE,1.7067,0.183,1.3871,0.1427,0.5145,0.0308,3.3721,0.4229,17.4151,2.5983,3.4584,0.3801,11.8573,1.6117,11.0406,1.3152,1.2589,0.0939,2.0635,0.3128,1.8077,0.0381,1.7566,0.1279,0.9339,0.0775,2.3708,0.3826,1.2595,0.1515,1.4242,0.0859
HDVT3,01/07/25,24,0,FINE,1.6376,0.1305,0.9578,0.1144,1.0683,0.0388,2.3788,0.3042,14.8831,3.7132,1.7346,0.4326,4.0761,1.2467,4.5269,1.0726,1.1443,0.1359,1.7461,0.2474,3.6358,1.6355,2.3476,0.4519,1.4579,0.2928,4.6659,0.7277,1.3857,0.122,2.2571,0.3776
HYVT1,01/07/25,24,0,COARSE,4.2324,0.7953,1.2205,0.3619,0.6907,0.1707,1.5351,0.1838,23.2197,9.3402,2.3212,0.9927,9.2901,3.5735,8.128,3.0505,1.2384,0.2458,2.2565,0.8478,2.4692,0.3868,1.9668,0.37,1.258,0.2261,3.7086,0.6741,2.4893,0.757,3.0638,0.479
HYVT1,01/07/25,24,0,FINE,2.2402,0.144,0.9809,0.386,0.8936,0.3818,0.7942,0.1076,19.1135,10.5166,1.886,1.1749,8.0104,4.1694,7.0107,3.5661,0.9374,0.3635,1.6299,0.8905,1.7721,0.5097,1.4033,0.3916,1.0319,0.1362,3.5396,0.6917,3.2074,0.5502,2.9663,0.5276
HYVT2,01/07/25,24,0,COARSE,2.7304,0.1558,0.8817,0.2157,0.378,0.0574,1.0077,0.0907,11.2948,0.1037,0.8558,0.0804,3.5699,0.5809,3.4163,0.4172,1.1821,0.2771,1.5006,0.3068,2.1969,0.4189,2.5623,0.4983,1.6169,0.3662,4.3889,0.9381,3.8739,1.429,2.5854,0.4987
HYVT2,01/07/25,24,0,FINE,2.1662,0.0674,0.6849,0.258,0.4367,0.0362,0.8794,0.0173,8.7074,0.5619,0.7426,0.0623,3.1188,0.0454,2.84,0.0769,0.6579,0.1034,0.9146,0.1098,0.8175,0.1149,0.5733,0.0506,0.7246,0.2637,2.315,0.2931,1.476,0.1027,2.2068,1.0516
