ID,DATE,DUR,STHOUR,SIZE,TMAC,TMAU,TOLC,TOLU,BENC,BENU,ETHC,ETHU,XYLC,XYLU
HPBG,13/07/25,8,0,VOC,1.0,0.0,0.4091,0.0144,0.1969,0.0152,0.1141,0.0219,0.2799,0.0109
HPBG,14/07/25,8,0,VOC,1.0,0.0,0.3018,0.0561,0.2134,0.0688,0.1776,0.0297,0.3072,0.0168
HPBG,15/07/25,8,0,VOC,1.0,0.0,0.317,0.0312,0.147,0.0165,0.2057,0.017,0.3303,0.011
HPRS,13/07/25,8,0,VOC,1.0,0.0,0.3616,0.0362,0.1975,0.0215,0.1579,0.0198,0.283,0.0033
HPRS,14/07/25,8,0,VOC,1.0,0.0,0.3896,0.0134,0.177,0.0273,0.1466,0.0178,0.2869,0.0291
HPRS,15/07/25,8,0,VOC,1.0,0.0,0.4123,0.0209,0.1743,0.0034,0.1486,0.0126,0.2648,0.0148
HPTR,13/07/25,8,0,VOC,1.0,0.0,0.3862,0.0284,0.1417,0.0173,0.1531,0.0061,0.319,0.0077
HPTR,14/07/25,8,0,VOC,1.0,0.0,0.3911,0.0165,0.1649,0.0101,0.1435,0.0213,0.3005,0.0068
HPTR,15/07/25,8,0,VOC,1.0,0.0,0.4198,0.0114,0.1611,0.0092,0.1397,0.0029,0.2794,0.0061
HYBG,10/07/25,8,0,VOC,1.0,0.0,0.462,0.0059,0.1699,0.0149,0.107,0.0096,0.2611,0.0194
HYBG,11/07/25,8,0,VOC,1.0,0.0,0.3905,0.0512,0.2306,0.0379,0.1239,0.0163,0.255,0.0092
HYBG,12/07/25,8,0,VOC,1.0,0.0,0.4134,0.0344,0.1877,0.0256,0.1447,0.0141,0.2541,0.034
HYRS,10/07/25,8,0,VOC,1.0,0.0,0.4162,0.0185,0.1666,0.0173,0.1568,0.0071,0.2605,0.0017
HYRS,11/07/25,8,0,VOC,1.0,0.0,0.3677,0.0254,0.1854,0.0202,0.15,0.0055,0.297,0.0057
HYRS,12/07/25,8,0,VOC,1.0,0.0,0.3835,0.0167,0.1649,0.0102,0.1931,0.0085,0.2584,0.0112
HYTR,10/07/25,8,0,VOC,1.0,0.0,0.3951,0.0042,0.1739,0.0013,0.1785,0.0132,0.2525,0.0141
HYTR,11/07/25,8,0,VOC,1.0,0.0,0.383,0.0225,0.1542,0.0078,0.1682,0.01,0.2946,0.0103
HYTR,12/07/25,8,0,VOC,1.0,0.0,0.351,0.0235,0.1619,0.0281,0.1905,0.0057,0.2967,0.0129
QNBG,02/07/25,8,0,VOC,1.0,0.0,0.3869,0.0178,0.1436,0.0043,0.1783,0.0106,0.2911,0.0283
QNBG,03/07/25,8,0,VOC,1.0,0.0,0.2929,0.0186,0.1696,0.0183,0.2395,0.0275,0.298,0.0163
QNBG,04/07/25,8,0,VOC,1.0,0.0,0.3555,0.0206,0.1576,0.0094,0.2079,0.0442,0.2789,0.0193
QNBG,05/07/25,8,0,VOC,1.0,0.0,0.4365,0.0053,0.1944,0.0162,0.1225,0.0048,0.2466,0.0196
QNBG,06/07/25,8,0,VOC,1.0,0.0,0.4555,0.0406,0.2018,0.0173,0.1327,0.004,0.21,0.0515
QNBG,07/07/25,8,0,VOC,1.0,0.0,0.4654,0.0195,0.1889,0.0098,0.1198,0.0085,0.2259,0.0108
QNRS,02/07/25,8,0,VOC,1.0,0.0,0.3775,0.0446,0.1986,0.0071,0.1233,0.0059,0.3005,0.0339
QNRS,03/07/25,8,0,VOC,1.0,0.0,0.3744,0.0211,0.2106,0.0186,0.1391,0.0074,0.276,0.0179
QNRS,04/07/25,8,0,VOC,1.0,0.0,0.3049,0.0137,0.2324,0.0217,0.1933,0.0039,0.2695,0.0159
QNRS,05/07/25,8,0,VOC,1.0,0.0,0.2723,0.0196,0.1798,0.026,0.1562,0.0204,0.3916,0.0281
QNRS,06/07/25,8,0,VOC,1.0,0.0,0.2197,0.0215,0.2492,0.0236,0.2153,0.0212,0.3158,0.0548
QNRS,07/07/25,8,0,VOC,1.0,0.0,0.2894,0.0056,0.222,0.0282,0.1657,0.0308,0.323,0.0076
QNRS,08/07/25,8,0,VOC,1.0,0.0,0.3629,0.0068,0.1873,0.0131,0.1437,0.0051,0.3061,0.0064
QNTR,02/07/25,8,0,VOC,1.0,0.0,0.4061,0.0163,0.1532,0.0105,0.1418,0.0068,0.299,0.0199
QNTR,03/07/25,8,0,VOC,1.0,0.0,0.3867,0.0025,0.1597,0.0088,0.1454,0.0043,0.3082,0.0072
QNTR,04/07/25,8,0,VOC,1.0,0.0,0.4011,0.0178,0.1826,0.0086,0.1379,0.0099,0.2783,0.0314
QNTR,05/07/25,8,0,VOC,1.0,0.0,0.4513,0.0279,0.1673,0.0126,0.116,0.0099,0.2654,0.0308
QNTR,06/07/25,8,0,VOC,1.0,0.0,0.3617,0.0358,0.1912,0.0102,0.1026,0.0087,0.3445,0.0367
QNTR,07/07/25,8,0,VOC,1.0,0.0,0.4121,0.0109,0.1391,0.0171,0.1667,0.0028,0.2822,0.0192
QNTR,08/07/25,8,0,VOC,1.0,0.0,0.44,0.0427,0.1444,0.0088,0.1297,0.0342,0.2859,0.018
