ID DATE DUR STHOUR SIZE TMAC TMAU TOLC TOLU BENC BENU ETHC ETHU XYLC XYLU 
HPBGAF **/07/25 8 0 VOC 41.7567 2.6733 15.61 2.2 7.1433 1.8057 6.7267 1.8663 12.2767 0.197 
HPBGEV **/07/25 8 0 VOC 37.8967 1.7571 11.41 1.8055 8.7833 2.4812 6.5267 0.8042 11.1767 0.7629 
HPBGMO **/07/25 8 0 VOC 28.88 2.3389 9.94 0.6565 4.6233 0.5641 4.86 1.5627 9.4567 1.0778 
HPRSAF **/07/25 8 0 VOC 166.84 6.5425 62.35 4.4492 34.0833 2.8582 27.88 2.4854 42.5267 0.1913 
HPRSEV **/07/25 8 0 VOC 153.3233 5.787 66.03 1.4606 26.55 2.5191 19.05 0.0872 41.6933 2.6882 
HPRSMO **/07/25 8 0 VOC 109.0667 10.0804 39.67 6.1721 18.3267 1.9217 17.3467 0.0338 33.7233 4.3976 
HPTRAF **/07/25 8 0 VOC 216.5433 34.2365 87.5367 16.599 34.0833 6.0174 29.3533 4.1247 65.57 8.9225 
HPTREV **/07/25 8 0 VOC 196.3267 21.9711 81.8233 8.0917 30.2633 6.8055 26.4267 2.5893 57.8133 5.5282 
HPTRMO **/07/25 8 0 VOC 124.8167 4.5294 47.3467 4.8839 20.1333 1.3692 20.3133 1.1539 37.0233 1.2244 
HYBGAF **/07/25 8 0 VOC 22.5133 2.7456 9.9867 0.6566 4.6167 0.9118 2.5833 0.5249 5.3267 0.7777 
HYBGEV **/07/25 8 0 VOC 22.0333 5.0654 9.5333 3.1078 4.4833 0.9202 2.76 0.7239 5.2567 0.6611 
HYBGMO **/07/25 8 0 VOC 15.0333 3.622 6.04 1.4153 2.4467 0.3442 2.1233 0.7635 4.4233 1.3021 
HYRSAF **/07/25 8 0 VOC 150.74 7.4581 57.4233 1.4976 26.2 3.0353 25.7133 2.0248 41.4033 4.078 
HYRSEV **/07/25 8 0 VOC 146.1667 10.0886 52.3267 1.5393 27.6 4.0387 24.9033 2.9875 41.3367 4.3583 
HYRSMO **/07/25 8 0 VOC 95.91 1.6402 40.6967 1.1832 15.0033 1.0646 15.13 0.8101 25.08 1.7063 
HYTRAF **/07/25 8 0 VOC 164.2067 5.9006 57.2733 5.9594 29.7867 1.6943 29.5967 1.5092 47.55 0.8603 
HYTREV **/07/25 8 0 VOC 158.9033 12.031 61.9267 5.0765 23.05 4.3671 27.88 1.5207 46.0467 3.9972 
HYTRMO **/07/25 8 0 VOC 140.45 18.3803 55.3367 8.1502 23.3133 3.6056 25.43 4.6009 36.37 3.0661 
QNBGAF **/07/25 8 0 VOC 50.5014 2.674 21.16 2.5068 9.1643 1.2532 8.65 1.2234 11.5271 0.669 
QNBGEV **/07/25 8 0 VOC 52.2257 3.4809 21.71 2.3923 9.0557 0.9284 8.6857 1.1975 12.7743 0.9436 
QNBGMO **/07/25 8 0 VOC 46.5686 4.2006 18.2757 1.5649 8.6543 0.9762 6.6071 1.0144 13.0314 1.4968 
QNRSAF **/07/25 8 0 VOC 187.6271 3.8294 59.36 5.0918 40.9786 3.7705 29.5386 3.502 57.75 4.3047 
QNRSEV **/07/25 8 0 VOC 180.5086 7.2024 53.9386 4.0418 40.2214 2.7678 31.4886 2.3288 54.86 3.9767 
QNRSMO **/07/25 8 0 VOC 145.7329 5.9124 48.4286 5.8629 27.9971 0.7815 22.1629 1.2584 47.1443 4.2519 
QNTRAF **/07/25 8 0 VOC 250.2714 15.3483 106.9571 9.0262 37.0914 3.3362 32.5186 2.5751 73.7043 4.4093 
QNTREV **/07/25 8 0 VOC 234.6129 16.1286 96.09 10.1986 40.4543 2.9239 30.02 1.5699 68.0486 7.2272 
QNTRMO **/07/25 8 0 VOC 158.7514 15.7637 62.9857 7.5482 27.3086 4.0144 21.8843 2.6981 46.5729 3.4939 
