PNO,SID,SIZE,PHEC,PHEU,ANTC,ANTU,FLTC,FLTU,PYRC,PYRU,BAAC,BAAU,CHRC,CHRU,BBFC,BBFU,BKFC,BKFU,BEPC,BEPU,BAPC,BAPU,INDC,INDU,DAHAC,DAHAU,BGHIPC,BGHIPU
CPP,CPP,FINE,0.142,0.0213,0.016,0.0024,0.16,0.024,0.14,0.021,0.099,0.0148,0.191,0.0286,0.073,0.011,0.015,0.0022,0.061,0.0092,0.035,0.0052,0.025,0.0038,0.005,0.0008,0.039,0.0058
CCO,CCO,FINE,0.124,0.0186,0.024,0.0036,0.084,0.0126,0.11,0.0165,0.245,0.0368,0.069,0.0104,0.13,0.0195,0.02,0.003,0.063,0.0094,0.01,0.0015,0.023,0.0034,0.008,0.0012,0.089,0.0134
CRD,CRD,FINE,0.333,0.05,0.07,0.0105,0.216,0.0324,0.085,0.0128,0.044,0.0066,0.064,0.0096,0.064,0.0096,0.03,0.0045,0.025,0.0038,0.034,0.0051,0.018,0.0027,0.0,0.0,0.016,0.0024
VGS,VGS,FINE,0.035,0.0052,0.004,0.0006,0.078,0.0117,0.098,0.0147,0.075,0.0112,0.149,0.0223,0.114,0.0171,0.078,0.0117,0.078,0.0117,0.075,0.0112,0.018,0.0027,0.013,0.002,0.184,0.0276
VDI,VDI,FINE,0.165,0.0248,0.022,0.0033,0.176,0.0264,0.305,0.0458,0.049,0.0074,0.134,0.0201,0.039,0.0058,0.036,0.0054,0.035,0.0052,0.018,0.0027,0.0,0.0,0.0,0.0,0.022,0.0033
CNG,CNG,FINE,0.002,0.0003,0.0,0.0,0.167,0.025,0.161,0.0242,0.09,0.0135,0.436,0.0654,0.052,0.0078,0.071,0.0106,0.021,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBN,BBN,FINE,0.067,0.01,0.01,0.0015,0.127,0.019,0.166,0.0249,0.066,0.0099,0.247,0.037,0.063,0.0094,0.069,0.0104,0.047,0.007,0.068,0.0102,0.013,0.002,0.007,0.001,0.052,0.0078
CPP,CPP,COARSE,0.142,0.0213,0.016,0.0024,0.16,0.024,0.14,0.021,0.099,0.0148,0.191,0.0286,0.073,0.011,0.015,0.0022,0.061,0.0092,0.035,0.0052,0.025,0.0038,0.005,0.0008,0.039,0.0058
CCO,CCO,COARSE,0.124,0.0186,0.024,0.0036,0.084,0.0126,0.11,0.0165,0.245,0.0368,0.069,0.0104,0.13,0.0195,0.02,0.003,0.063,0.0094,0.01,0.0015,0.023,0.0034,0.008,0.0012,0.089,0.0134
CRD,CRD,COARSE,0.333,0.05,0.07,0.0105,0.216,0.0324,0.085,0.0128,0.044,0.0066,0.064,0.0096,0.064,0.0096,0.03,0.0045,0.025,0.0038,0.034,0.0051,0.018,0.0027,0.0,0.0,0.016,0.0024
VGS,VGS,COARSE,0.035,0.0052,0.004,0.0006,0.078,0.0117,0.098,0.0147,0.075,0.0112,0.149,0.0223,0.114,0.0171,0.078,0.0117,0.078,0.0117,0.075,0.0112,0.018,0.0027,0.013,0.002,0.184,0.0276
VDI,VDI,COARSE,0.165,0.0248,0.022,0.0033,0.176,0.0264,0.305,0.0458,0.049,0.0074,0.134,0.0201,0.039,0.0058,0.036,0.0054,0.035,0.0052,0.018,0.0027,0.0,0.0,0.0,0.0,0.022,0.0033
CNG,CNG,COARSE,0.002,0.0003,0.0,0.0,0.167,0.025,0.161,0.0242,0.09,0.0135,0.436,0.0654,0.052,0.0078,0.071,0.0106,0.021,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBN,BBN,COARSE,0.067,0.01,0.01,0.0015,0.127,0.019,0.166,0.0249,0.066,0.0099,0.247,0.037,0.063,0.0094,0.069,0.0104,0.047,0.007,0.068,0.0102,0.013,0.002,0.007,0.001,0.052,0.0078
