PNO,SID,SIZE,Flu,Phe,Ant,Pyr,BaA,Chr,BbF,BkF,BaP,InP,DahA,BghiP
CLRSD,COALRSD,FINE,0.064,0.001,0.001,0.236,0.045,0.074,0.062,0.065,0.121,0.089,0.137,0.105
CLPP,COALPP,FINE,0.168,0.061,0.039,0.086,0.147,0.162,0.088,0.033,0.064,0.062,0.024,0.066
BBWOOD,BIOWOOD,FINE,0.036,0.001,0.001,0.082,0.035,0.051,0.055,0.061,0.401,0.091,0.101,0.085
BBPDDY,BIOPADDY,FINE,0.189,0.493,0.085,0.091,0.032,0.035,0.031,0.021,0.011,0.005,0.002,0.005
TRPET,TRANSPET,FINE,0.002,0.022,0.006,0.324,0.058,0.051,0.071,0.071,0.147,0.149,0.003,0.097
TRDIE,TRANSDIE,FINE,0.103,0.039,0.061,0.134,0.121,0.076,0.013,0.002,0.245,0.203,0.002,0.002
TRCNG,TRANSCNG,FINE,0.232,0.143,0.012,0.373,0.066,0.134,0.001,0.001,0.001,0.001,0.001,0.035
WASTE,WASTE,FINE,0.066,0.433,0.079,0.173,0.051,0.046,0.063,0.013,0.031,0.021,0.001,0.023
LPG,LPG,FINE,0.058,0.002,0.001,0.293,0.042,0.094,0.047,0.068,0.168,0.056,0.098,0.073
NRDDIE,NONRDDIE,FINE,0.172,0.505,0.062,0.131,0.017,0.027,0.023,0.017,0.014,0.014,0.002,0.016
CLRSD,COALRSD,COARSE,0.064,0.001,0.001,0.236,0.045,0.074,0.062,0.065,0.121,0.089,0.137,0.105
CLPP,COALPP,COARSE,0.168,0.061,0.039,0.086,0.147,0.162,0.088,0.033,0.064,0.062,0.024,0.066
BBWOOD,BIOWOOD,COARSE,0.036,0.001,0.001,0.082,0.035,0.051,0.055,0.061,0.401,0.091,0.101,0.085
BBPDDY,BIOPADDY,COARSE,0.189,0.493,0.085,0.091,0.032,0.035,0.031,0.021,0.011,0.005,0.002,0.005
TRPET,TRANSPET,COARSE,0.002,0.022,0.006,0.324,0.058,0.051,0.071,0.071,0.147,0.149,0.003,0.097
TRDIE,TRANSDIE,COARSE,0.103,0.039,0.061,0.134,0.121,0.076,0.013,0.002,0.245,0.203,0.002,0.002
TRCNG,TRANSCNG,COARSE,0.232,0.143,0.012,0.373,0.066,0.134,0.001,0.001,0.001,0.001,0.001,0.035
WASTE,WASTE,COARSE,0.066,0.433,0.079,0.173,0.051,0.046,0.063,0.013,0.031,0.021,0.001,0.023
LPG,LPG,COARSE,0.058,0.002,0.001,0.293,0.042,0.094,0.047,0.068,0.168,0.056,0.098,0.073
NRDDIE,NONRDDIE,COARSE,0.172,0.505,0.062,0.131,0.017,0.027,0.023,0.017,0.014,0.014,0.002,0.016
