Power_plant, Coke_oven, Residential, Gasoline_vehicle, Diesel_vehicle, NG_combustion, Biomass_burning
Phen, 0.142, 0.124, 0.333, 0.035, 0.165, 0.002, 0.067
Anthr, 0.016, 0.024, 0.070, 0.004, 0.022, 0.000, 0.010
Flt, 0.160, 0.084, 0.216, 0.078, 0.176, 0.167, 0.127
Pyr, 0.140, 0.110, 0.085, 0.098, 0.305, 0.161, 0.166
BaA, 0.099, 0.245, 0.044, 0.075, 0.049, 0.090, 0.066
Chry, 0.191, 0.069, 0.064, 0.149, 0.134, 0.436, 0.247
BbF, 0.073, 0.130, 0.064, 0.114, 0.039, 0.052, 0.063
BkF, 0.015, 0.020, 0.030, 0.078, 0.036, 0.071, 0.069
BeP, 0.061, 0.063, 0.025, 0.078, 0.035, 0.021, 0.047
BaP, 0.035, 0.010, 0.034, 0.075, 0.018, -99, 0.068
Ind, 0.025, 0.023, 0.018, 0.018, -99, -99, 0.013
DahA, 0.005, 0.008, -99, 0.013, -99, -99, 0.007
BghiP, 0.039, 0.089, 0.016, 0.184, 0.022, -99, 0.052
