,Pollutant,min,max,std,station_type,resample,station
0,SO2 - (µg/Nm3),0.02725972199869716,31.529877834707655,4.593332638224028,amb,1h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
1,CO - (µg/Nm3),110.1380075881403,2037.2174635669114,313.53758264494945,amb,1h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
2,NO2 - (µg/Nm3),0.02090794719728965,110.54319394884395,18.573405518081394,amb,1h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
3,O3 - (µg/Nm3),3.104006050323808,142.5756557873938,21.856529136509877,amb,1h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
4,TSP - (µg/Nm3),1.109467773229126,85.6371965904744,16.84154457794251,amb,1h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
5,PM10 - (µg/Nm3),1.1023954686629949,61.52904811448329,12.083642516206096,amb,1h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
6,PM2.5 - (µg/Nm3),0.11330228260106043,31.041736260964136,5.869511741736341,amb,1h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
7,SO2 - (µg/Nm3),0.02886255325004071,31.443144374329727,4.3200746697658925,amb,8h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
8,CO - (µg/Nm3),174.84670811543026,1910.7727741218546,299.22005270552415,amb,8h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
9,NO2 - (µg/Nm3),0.8619963584210535,81.7448325069248,15.624566452684242,amb,8h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
10,O3 - (µg/Nm3),7.470542114655361,117.4699734170226,20.053206431111352,amb,8h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
11,TSP - (µg/Nm3),1.1520664386480668,83.35630093865586,16.421024945057166,amb,8h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
12,PM10 - (µg/Nm3),1.1425104114668179,59.55603113297218,11.739340432272652,amb,8h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
13,PM2.5 - (µg/Nm3),0.12859843655685088,31.041736260964136,5.868556215410984,amb,8h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
14,SO2 - (µg/Nm3),0.02920081433633186,26.70571725494454,3.6134279555755193,amb,24h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
15,CO - (µg/Nm3),186.86738077031646,1676.039734452117,289.2471210284639,amb,24h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
16,NO2 - (µg/Nm3),1.4056713160684309,71.38314268157013,13.569248637565126,amb,24h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
17,O3 - (µg/Nm3),10.888706791614135,110.2860912310016,16.623933988453437,amb,24h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
18,TSP - (µg/Nm3),1.184966951063058,78.28283344097589,15.47016936580075,amb,24h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
19,PM10 - (µg/Nm3),1.1598444609965184,55.353058905546376,11.124054193940133,amb,24h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
20,PM2.5 - (µg/Nm3),0.14785415846462915,25.708043291878994,5.4876804902138305,amb,24h,amb_3. du lieu trung binh_UBND phường Phương Nam Uông Bí năm 2023
21,SO2 - (µg/Nm3),0.0026297111712859154,103.30094066932199,18.97978369423221,amb,1h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
22,CO - (µg/Nm3),0.714217039561643,5668.847255409988,878.1013848808461,amb,1h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
23,NO2 - (µg/Nm3),0.011132861704698191,65.40079330708345,12.466471666842702,amb,1h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
24,O3 - (µg/Nm3),0.08386917669584888,207.8802599998139,35.689611852668726,amb,1h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
25,TSP - (µg/Nm3),1.618506266515911,102.9082713285888,16.978162838563318,amb,1h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
26,PM10 - (µg/Nm3),0.6327093369980231,51.90098573469638,8.687160775999242,amb,1h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
27,PM2.5 - (µg/Nm3),0.1522389675941775,45.83947654522671,8.39330601456339,amb,1h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
28,SO2 - (µg/Nm3),0.10151139803338856,94.2094298963776,17.853545230480506,amb,8h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
29,CO - (µg/Nm3),2.2176754727543346,5372.090103636791,911.2762816122856,amb,8h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
30,NO2 - (µg/Nm3),0.09188738781771894,58.06162708788721,10.830302349626356,amb,8h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
31,O3 - (µg/Nm3),0.08386917669584888,171.06292131723805,33.11900885925076,amb,8h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
32,TSP - (µg/Nm3),4.637280974438637,97.0547141502048,15.421928929257488,amb,8h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
33,PM10 - (µg/Nm3),1.5524299776819563,50.49263295009414,8.153058260794795,amb,8h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
34,PM2.5 - (µg/Nm3),0.34342692441110856,40.49737092189892,7.837999008631338,amb,8h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
35,SO2 - (µg/Nm3),0.10151139803338856,87.84835923413587,16.544566374137066,amb,24h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
36,CO - (µg/Nm3),2.2176754727543346,5241.426831798365,919.1507878398762,amb,24h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
37,NO2 - (µg/Nm3),0.22722053136727557,50.56708306016051,9.020025570194734,amb,24h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
38,O3 - (µg/Nm3),0.327788844851041,131.72540073507804,29.39231634998407,amb,24h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
39,TSP - (µg/Nm3),5.129839893961157,91.53639689416579,13.820246975927514,amb,24h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
40,PM10 - (µg/Nm3),1.7441166787910738,48.28837922315376,7.47574597892505,amb,24h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
41,PM2.5 - (µg/Nm3),0.6547072321382078,37.27326452798502,7.320571266926126,amb,24h,amb_4. du lieu trung binh_UBND thành phố Uông Bí  năm 2023
42,NO2 - (µg/Nm3),0.0001,10.1527,2.1662615063244868,amb,1h,amb_v1. Hưng Yên_ số 437 Nguyễn Văn Linh - Tp Hưng Yên
43,NOx - (µg/Nm3),0.7018,8.4977,1.3502702378028248,amb,1h,amb_v1. Hưng Yên_ số 437 Nguyễn Văn Linh - Tp Hưng Yên
44,PM10 - (µg/Nm3),20.4792,260.1343,53.05602417082314,amb,1h,amb_v1. Hưng Yên_ số 437 Nguyễn Văn Linh - Tp Hưng Yên
45,PM2.5 - (µg/Nm3),8.5623,180.0023,35.8777698438295,amb,1h,amb_v1. Hưng Yên_ số 437 Nguyễn Văn Linh - Tp Hưng Yên
46,NO2 - (µg/Nm3),0.0001,10.1527,2.1662615063244868,amb,8h,amb_v1. Hưng Yên_ số 437 Nguyễn Văn Linh - Tp Hưng Yên
47,NOx - (µg/Nm3),0.7018,8.4977,1.3502702378028248,amb,8h,amb_v1. Hưng Yên_ số 437 Nguyễn Văn Linh - Tp Hưng Yên
48,PM10 - (µg/Nm3),20.4792,260.1343,53.05602417082315,amb,8h,amb_v1. Hưng Yên_ số 437 Nguyễn Văn Linh - Tp Hưng Yên
49,PM2.5 - (µg/Nm3),8.5623,180.0023,35.8777698438295,amb,8h,amb_v1. Hưng Yên_ số 437 Nguyễn Văn Linh - Tp Hưng Yên
50,NO2 - (µg/Nm3),0.0001,10.1527,2.1662615063244868,amb,24h,amb_v1. Hưng Yên_ số 437 Nguyễn Văn Linh - Tp Hưng Yên
51,NOx - (µg/Nm3),0.7018,8.4977,1.350270237802825,amb,24h,amb_v1. Hưng Yên_ số 437 Nguyễn Văn Linh - Tp Hưng Yên
52,PM10 - (µg/Nm3),20.4792,260.1343,53.05602417082315,amb,24h,amb_v1. Hưng Yên_ số 437 Nguyễn Văn Linh - Tp Hưng Yên
53,PM2.5 - (µg/Nm3),8.5623,180.0023,35.8777698438295,amb,24h,amb_v1. Hưng Yên_ số 437 Nguyễn Văn Linh - Tp Hưng Yên
54,NO2 - (µg/Nm3),0.0014,41.9793,10.121800127333264,amb,1h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
55,NOx - (µg/Nm3),0.0001,65.6274,13.123872446040702,amb,1h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
56,PM10 - (µg/Nm3),17.5711,196.9176,40.10832662710221,amb,1h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
57,PM2.5 - (µg/Nm3),11.4959,156.3596,29.910404988705107,amb,1h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
58,NO2 - (µg/Nm3),0.0014,41.9793,10.121800127333264,amb,8h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
59,NOx - (µg/Nm3),0.0001,65.6274,13.123872446040702,amb,8h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
60,PM10 - (µg/Nm3),17.5711,196.9176,40.10832662710221,amb,8h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
61,PM2.5 - (µg/Nm3),11.4959,156.3596,29.910404988705107,amb,8h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
62,NO2 - (µg/Nm3),0.0014,41.9793,10.121800127333264,amb,24h,amb_v1.Hải Dương_ UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
