STT,Vị trí đo đạc,Mẫu,Tọa độ,Ký hiệu mẫu,lat,lon
1,"Công viên lán bè, Phường Bạch Đằng, TP.Hạ Long",PM2.5 (24h),"N:20º57’06.01’’, E:107º05’26.1’’",QN.VT01.0207.PM2.5.01,20.951669,107.090583
2,"Công viên lán bè, Phường Bạch Đằng, TP.Hạ Long ",PM10 (24h),"N:20º57’06.01’’, E:107º05’26.1’’",QN.VT01.0207.PM10.01,20.951669,107.090583
3,"Công viên lán bè, Phường Bạch Đằng, TP.Hạ Long",VOCs (7h-9h),"N:20º57’06.01’’, E:107º05’26.1’’",QN.VT01.0207.VOCs.01,20.951669,107.090583
4,"Công viên lán bè, Phường Bạch Đằng, TP.Hạ Long",VOCs (14h30-16h30),"N:20º57’06.01’’, E:107º05’26.1’’",QN.VT01.0207.VOCs.02,20.951669,107.090583
5,"Công viên lán bè, Phường Bạch Đằng, TP.Hạ Long ",VOCs (20h-22h),"N:20º57’06.01’’, E:107º05’26.1’’",QN.VT01.0207.VOCs.03,20.951669,107.090583
9,"Nhà dân ngõ 37, Đường Nguyễn Văn Cừ, Phường Hồng Hà, TP. Hạ Long",PM 2.5 (24h),"N:20º56’42.02’’, E:107º 7'19.19’’",QN.VT02.0207.PM2.5.01,20.945006,107.121997
10,"Nhà dân ngõ 37, Đường Nguyễn Văn Cừ, Phường Hồng Hà, TP. Hạ Long",PM 10 (24h),"N:20º56’42.02’’, E:107º 7'19.19’’",QN.VT02.0207.PM10.01,20.945006,107.121997
11,"Nhà dân ngõ 37, Đường Nguyễn Văn Cừ, Phường Hồng Hà, TP. Hạ Long",VOCs (7h-9h),"N:20º56’42.02’’, E:107º 7'19.19’’",QN.VT02.0207.VOCs.01,20.945006,107.121997
12,"Nhà dân ngõ 37, Đường Nguyễn Văn Cừ, Phường Hồng Hà, TP. Hạ Long",VOCs (14h30-16h30),"N:20º56’42.02’’, E:107º 7'19.19’’",QN.VT02.0207.VOCs.02,20.945006,107.121997
13,"Nhà dân ngõ 37, Đường Nguyễn Văn Cừ, Phường Hồng Hà, TP. Hạ Long",VOCs (20h-22h),"N:20º56’42.02’’, E:107º 7'19.19’’",QN.VT02.0207.VOCs.03,20.945006,107.121997
17,"Ngã tư QL18 và đường Lê Thanh Nghị, Phường Hồng Hà, TP. Hạ Long",PM2.5 (24h),"N:20º56’28.098’’, E:107º7'24.732’’",QN.VT03.0207.PM2.5.01,20.941138,107.123481
18,"Ngã tư QL18 và đường Lê Thanh Nghị, Phường Hồng Hà, TP. Hạ Long",PM10 (24h),"N:20º56’28.098’’, E:107º7'24.732’’",QN.VT03.0207.PM10.01,20.941138,107.123481
19,"Ngã tư QL18 và đường Lê Thanh Nghị, Phường Hồng Hà, TP. Hạ Long",VOCs (7h-9h),"N:20º56’28.098’’, E:107º7'24.732’’",QN.VT03.0207.VOCs.01,20.941138,107.123481
20,"Ngã tư QL18 và đường Lê Thanh Nghị, Phường Hồng Hà, TP. Hạ Long",VOCs (14h30-16h30),"N:20º56’28.098’’, E:107º7'24.732’’",QN.VT03.0207.VOCs.02,20.941138,107.123481
21,"Ngã tư QL18 và đường Lê Thanh Nghị, Phường Hồng Hà, TP. Hạ Long",VOCs (20h-22h),"N:20º56’28.098’’, E:107º7'24.732’’",QN.VT03.0207.VOCs.03,20.941138,107.123481
